year;month;day;hour;minute;Par1;Par2;Par3;Par4;Rnet1;Rnet2;Rnet3;Rnet4;Rnet5
5;1;1;0;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;0;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;1;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;1;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;2;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;2;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;3;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;3;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;4;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;4;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;5;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;5;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;6;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;6;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;7;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;7;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;8;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;8;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;9;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;9;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;10;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;10;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;11;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;11;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;12;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;12;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;13;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;13;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;14;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;14;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;15;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;15;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;16;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;16;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;17;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;17;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;18;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;18;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;19;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;19;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;20;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;20;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;21;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;21;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;22;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;22;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;23;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;1;23;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;0;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;0;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;1;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;1;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;2;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;2;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;3;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;3;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;4;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;4;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;5;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;5;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;6;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;6;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;7;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;7;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;8;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;8;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;9;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;9;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;10;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;10;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;11;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;11;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;12;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;12;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;13;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;13;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;14;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;14;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;15;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;15;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;16;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;16;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;17;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;17;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;18;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;18;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;19;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;19;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;20;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;20;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;21;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;21;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;22;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;22;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;23;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;2;23;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;0;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;0;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;1;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;1;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;2;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;2;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;3;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;3;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;4;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;4;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;5;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;5;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;6;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;6;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;7;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;7;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;8;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;8;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;9;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;9;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;10;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;10;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;11;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;11;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;12;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;12;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;13;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;13;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;14;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;14;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;15;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;15;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;16;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;16;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;17;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;17;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;18;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;18;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;19;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;19;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;20;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;20;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;21;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;21;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;22;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;22;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;23;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;3;23;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;4;0;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;4;0;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;4;1;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;4;1;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;4;2;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;4;2;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;4;3;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;4;3;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;4;4;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;4;4;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;4;5;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
5;1;4;5;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
